Thu Apr 21 10:42:32 2022    ./mrJobs/profiling/profile.Fill_Null_Vals.dat

         2818831 function calls (2818277 primitive calls) in 3.673 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30712    0.018    0.000    0.018    0.000 {method 'join' of 'str' objects}
        7    0.000    0.000    0.018    0.003 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:539(_yield_split_fileobjs)
        6    0.000    0.000    0.015    0.003 /home/ubuntu/DAT500-FinalProject/mrJobs/fill_null_vals.py:16(load_args)
        6    0.000    0.000    0.015    0.003 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:1104(load_args)
        6    0.000    0.000    0.015    0.003 /usr/lib/python3.8/argparse.py:2286(parse_intermixed_args)
        6    0.000    0.000    0.015    0.003 /usr/lib/python3.8/argparse.py:2293(parse_known_intermixed_args)
       14    0.001    0.000    0.015    0.001 /usr/lib/python3.8/argparse.py:1786(parse_known_args)
        6    0.015    0.002    0.015    0.002 {built-in method time.tzset}
     2348    0.003    0.000    0.014    0.000 /usr/lib/python3.8/re.py:289(_compile)
        5    0.000    0.000    0.013    0.003 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:320(_env_for_task)
       14    0.003    0.000    0.013    0.001 /usr/lib/python3.8/argparse.py:1821(_parse_known_args)
    30000    0.012    0.000    0.012    0.000 {method 'split' of 'bytes' objects}
        6    0.000    0.000    0.012    0.002 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:477(combine_local_envs)
        6    0.005    0.001    0.012    0.002 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:484(_combine_envs_helper)
    40863    0.011    0.000    0.011    0.000 {built-in method builtins.getattr}
      393    0.010    0.000    0.011    0.000 /usr/lib/python3.8/posixpath.py:71(join)
    20000    0.010    0.000    0.010    0.000 {method 'rstrip' of 'bytes' objects}
     5344    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    0.010    0.005 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:289(<genexpr>)
        8    0.000    0.000    0.009    0.001 /usr/lib/python3.8/sre_compile.py:759(compile)
52853/52828    0.009    0.000    0.009    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.009    0.009 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:675(__exit__)
        1    0.000    0.000    0.009    0.009 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:617(cleanup)
       41    0.000    0.000    0.009    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:612(_task_dir)
        1    0.000    0.000    0.009    0.009 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:585(_cleanup_local_tmp)
        1    0.000    0.000    0.009    0.009 /usr/lib/python3.8/shutil.py:682(rmtree)
       21    0.000    0.000    0.009    0.000 /usr/lib/python3.8/argparse.py:1889(consume_optional)
     17/1    0.001    0.000    0.009    0.009 /usr/lib/python3.8/shutil.py:625(_rmtree_safe_fd)
       35    0.000    0.000    0.009    0.000 /usr/lib/python3.8/re.py:188(match)
        8    0.000    0.000    0.009    0.001 /usr/lib/python3.8/sre_parse.py:937(parse)
       21    0.000    0.000    0.009    0.000 /usr/lib/python3.8/argparse.py:2096(_match_argument)
       10    0.000    0.000    0.009    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:643(_task_working_dir)
     13/8    0.000    0.000    0.009    0.001 /usr/lib/python3.8/sre_parse.py:435(_parse_sub)
        1    0.002    0.002    0.009    0.009 {method 'sort' of 'list' objects}
     14/9    0.000    0.000    0.009    0.001 /usr/lib/python3.8/sre_parse.py:493(_parse)
       56    0.008    0.000    0.008    0.000 /usr/lib/python3.8/sre_parse.py:233(__next)
       36    0.000    0.000    0.008    0.000 /usr/lib/python3.8/sre_parse.py:249(match)
    10000    0.004    0.000    0.007    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:525(reducer_key)
       17    0.007    0.000    0.007    0.000 {built-in method posix.mkdir}
      190    0.000    0.000    0.007    0.000 /usr/lib/python3.8/_collections_abc.py:742(__iter__)
     1144    0.007    0.000    0.007    0.000 {built-in method posix.get_terminal_size}
     1144    0.007    0.000    0.007    0.000 /usr/lib/python3.8/argparse.py:1539(_check_conflict)
     2313    0.001    0.000    0.007    0.000 /usr/lib/python3.8/re.py:250(compile)
    10000    0.003    0.000    0.006    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:767(<lambda>)
    20000    0.006    0.000    0.006    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:784(<lambda>)
    20000    0.006    0.000    0.006    0.000 {method 'clear' of 'dict' objects}
       62    0.006    0.000    0.006    0.000 {method 'extend' of 'list' objects}
       10    0.000    0.000    0.006    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/util.py:169(save_current_environment)
     1144    0.003    0.000    0.005    0.000 /usr/lib/python3.8/argparse.py:598(_format_args)
       20    0.000    0.000    0.005    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
       22    0.005    0.000    0.005    0.000 {built-in method _stat.S_ISDIR}
     4375    0.003    0.000    0.004    0.000 /usr/lib/python3.8/os.py:748(encode)
       60    0.000    0.000    0.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:724(_get_local_tmp_dir)
    20000    0.004    0.000    0.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/step.py:79(_IDENTITY_MAPPER)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.8/tempfile.py:418(gettempdir)
        1    0.000    0.000    0.004    0.004 /usr/lib/python3.8/tempfile.py:316(_get_default_tempdir)
        5    0.000    0.000    0.004    0.001 /usr/lib/python3.8/_collections_abc.py:816(clear)
      324    0.001    0.000    0.003    0.000 /usr/lib/python3.8/_collections_abc.py:804(popitem)
    20002    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
        6    0.000    0.000    0.003    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1585(_add_job_args)
       29    0.003    0.000    0.003    0.000 {built-in method posix.unlink}
        1    0.000    0.000    0.002    0.002 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/inline.py:58(__init__)
        1    0.000    0.000    0.002    0.002 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:77(__init__)
     1144    0.001    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:1526(_pop_action_class)
    10000    0.002    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:887(<lambda>)
        1    0.000    0.000    0.002    0.002 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:118(__init__)
       10    0.000    0.000    0.002    0.000 /usr/lib/python3.8/_collections_abc.py:824(update)
      504    0.001    0.000    0.002    0.000 /usr/lib/python3.8/os.py:678(__setitem__)
      744    0.001    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1525(suppressed)
    10010    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
        6    0.000    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1631(_add_step_args)
     1144    0.002    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:821(__init__)
     2307    0.001    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:1324(_registry_get)
      456    0.001    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:863(__init__)
