Thu Apr 21 10:42:32 2022    ./mrJobs/profiling/profile.Fill_Null_Vals.dat

         2818831 function calls (2818277 primitive calls) in 3.673 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10000    0.003    0.000    0.006    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:767(<lambda>)
     4375    0.003    0.000    0.004    0.000 /usr/lib/python3.8/os.py:748(encode)
    10000    0.002    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:887(<lambda>)
        1    0.002    0.002    0.009    0.009 {method 'sort' of 'list' objects}
        1    0.002    0.002    0.031    0.031 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:750(_sort_lines_in_memory)
    10010    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     1144    0.002    0.000    0.113    0.000 /usr/lib/python3.8/argparse.py:1601(_add_action)
     1144    0.002    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:821(__init__)
     1144    0.001    0.000    0.052    0.000 /usr/lib/python3.8/argparse.py:2492(_get_formatter)
        8    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
     1144    0.001    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:1526(_pop_action_class)
     2307    0.001    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:1324(_registry_get)
     2313    0.001    0.000    0.007    0.000 /usr/lib/python3.8/re.py:250(compile)
       14    0.001    0.000    0.015    0.001 /usr/lib/python3.8/argparse.py:1786(parse_known_args)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of '_io._IOBase' objects}
      744    0.001    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1525(suppressed)
     4751    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     3875    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1144    0.001    0.000    0.114    0.000 /usr/lib/python3.8/argparse.py:1759(_add_action)
        6    0.001    0.000    0.113    0.019 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1492(_add_runner_args)
      456    0.001    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:863(__init__)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/types.py:171(__get__)
        1    0.001    0.001    0.033    0.033 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:660(_sort_reducer_input)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:591(format)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:214(__init__)
     1023    0.001    0.000    0.001    0.000 /usr/lib/python3.8/os.py:693(__iter__)
     1144    0.001    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:582(_metavar_formatter)
     1144    0.001    0.000    0.001    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        2    0.001    0.000    0.032    0.016 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1706(_parse_raw_args)
      504    0.001    0.000    0.001    0.000 {built-in method posix.putenv}
      324    0.001    0.000    0.003    0.000 /usr/lib/python3.8/_collections_abc.py:804(popitem)
     3753    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      805    0.001    0.000    0.001    0.000 {built-in method builtins.any}
      504    0.001    0.000    0.002    0.000 /usr/lib/python3.8/os.py:678(__setitem__)
     17/1    0.001    0.000    0.009    0.009 /usr/lib/python3.8/shutil.py:625(_rmtree_safe_fd)
     1183    0.001    0.000    0.001    0.000 {built-in method builtins.max}
        1    0.001    0.001    0.001    0.001 {method 'write' of '_io.TextIOWrapper' objects}
       24    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
        6    0.000    0.000    0.015    0.003 /usr/lib/python3.8/argparse.py:2293(parse_known_intermixed_args)
     1397    0.000    0.000    0.001    0.000 /usr/lib/python3.8/os.py:752(decode)
       16    0.000    0.000    0.045    0.003 /usr/lib/python3.8/gettext.py:538(find)
     2307    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      115    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        5    0.000    0.000    2.964    0.593 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:733(_run_task)
      222    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:898(__init__)
     1500    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1526(<genexpr>)
     1144    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:753(value)
       18    0.000    0.000    0.000    0.000 {built-in method posix.close}
       24    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1267(__init__)
      319    0.000    0.000    0.001    0.000 /usr/lib/python3.8/os.py:684(__delitem__)
     1023    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       12    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/step.py:208(__init__)
       23    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:435(combine_dicts)
     1216    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        8    0.000    0.000    0.000    0.000 {built-in method io.open_code}
        8    0.000    0.000    0.047    0.006 /usr/lib/python3.8/argparse.py:1650(__init__)
       32    0.000    0.000    0.001    0.000 /usr/lib/python3.8/gettext.py:212(_expand_lang)
       59    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:587(_step_dir)
      319    0.000    0.000    0.000    0.000 {built-in method posix.unsetenv}
       20    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:1772(<listcomp>)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.8/multiprocessing/process.py:10(<module>)
      638    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1500(_to_str)
      953    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        8    0.000    0.000    0.101    0.013 <frozen importlib._bootstrap_external>:914(get_code)
     14/9    0.000    0.000    0.009    0.001 /usr/lib/python3.8/sre_parse.py:493(_parse)
        8    0.000    0.000    0.099    0.012 <frozen importlib._bootstrap_external>:1034(get_data)
      635    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:206(_strip_clear_tag)
      477    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:41(_get_sep)
       36    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:517(<genexpr>)
       18    0.000    0.000    0.000    0.000 {built-in method posix.open}
       10    0.000    0.000    0.002    0.000 /usr/lib/python3.8/_collections_abc.py:824(update)
      157    0.000    0.000    0.059    0.000 /usr/lib/python3.8/genericpath.py:16(exists)
       22    0.000    0.000    0.152    0.007 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/setup.py:470(name_to_path)
       17    0.000    0.000    0.000    0.000 {built-in method posix.rmdir}
        5    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:352(_simulate_jobconf_for_step)
       20    0.000    0.000    0.000    0.000 {built-in method posix.scandir}
        5    0.000    0.000    2.962    0.592 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/inline.py:107(invoke_task)
      296    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:1320(register)
      190    0.000    0.000    0.007    0.000 /usr/lib/python3.8/_collections_abc.py:742(__iter__)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
      506    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:616(<listcomp>)
       22    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:334(normpath)
     25/8    0.000    0.000    0.000    0.000 /usr/lib/python3.8/sre_compile.py:71(_compile)
        5    0.000    0.000    0.326    0.065 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:197(_run_task_func)
      324    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1506(<genexpr>)
       12    0.000    0.000    0.001    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:497(steps)
        6    0.000    0.000    0.289    0.048 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:89(__init__)
   370/46    0.000    0.000    0.024    0.001 {built-in method builtins.next}
       35    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:2370(_get_values)
       16    0.000    0.000    0.045    0.003 /usr/lib/python3.8/gettext.py:594(translation)
      126    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:921(__init__)
      190    0.000    0.000    0.000    0.000 /usr/lib/python3.8/_collections_abc.py:719(__iter__)
        5    0.000    0.000    0.001    0.000 /usr/lib/python3.8/os.py:707(copy)
       10    0.000    0.000    0.108    0.011 /usr/lib/python3.8/posixpath.py:449(relpath)
       67    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/compat.py:670(translate_jobconf_for_all_versions)
       84    0.000    0.000    0.000    0.000 /usr/lib/python3.8/argparse.py:938(__init__)
       35    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1868(take_action)
       25    0.000    0.000    0.000    0.000 /usr/lib/python3.8/posixpath.py:100(split)
