Thu Apr 21 10:26:50 2022    ./mrJobs/profiling/profile.Remove_Null_Vals.dat

         2878596 function calls (2878042 primitive calls) in 1.798 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       16    0.000    0.000    0.002    0.000 /usr/lib/python3.8/gettext.py:538(find)
      115    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
      222    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:898(__init__)
        6    0.000    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:484(_combine_envs_helper)
     1023    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1500    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1526(<genexpr>)
       18    0.000    0.000    0.000    0.000 {built-in method posix.close}
     1144    0.000    0.000    0.000    0.000 /usr/lib/python3.8/enum.py:753(value)
     1403    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      319    0.000    0.000    0.001    0.000 /usr/lib/python3.8/os.py:684(__delitem__)
      638    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1500(_to_str)
       12    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/step.py:208(__init__)
       24    0.000    0.000    0.001    0.000 /usr/lib/python3.8/argparse.py:1267(__init__)
       67    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/compat.py:670(translate_jobconf_for_all_versions)
      319    0.000    0.000    0.000    0.000 {built-in method posix.unsetenv}
      635    0.000    0.000    0.000    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:206(_strip_clear_tag)
        5    0.000    0.000    1.637    0.327 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:733(_run_task)
