Thu Apr 21 10:31:25 2022    ./mrJobs/profiling/profile.Find_Mean_Mode.dat

         15446950 function calls (15446200 primitive calls) in 11.245 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1562    0.003    0.000    0.011    0.000 /usr/lib/python3.8/argparse.py:1601(_add_action)
        8    0.000    0.000    0.011    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:197(_run_task_func)
     3158    0.002    0.000    0.010    0.000 /usr/lib/python3.8/re.py:250(compile)
     1562    0.004    0.000    0.008    0.000 /usr/lib/python3.8/argparse.py:1410(_add_action)
       16    0.000    0.000    0.008    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/util.py:169(save_current_environment)
       32    0.000    0.000    0.008    0.000 /usr/lib/python3.8/contextlib.py:117(__exit__)
     1562    0.004    0.000    0.007    0.000 /usr/lib/python3.8/argparse.py:598(_format_args)
     6387    0.004    0.000    0.007    0.000 /usr/lib/python3.8/os.py:748(encode)
     1551    0.005    0.000    0.006    0.000 /usr/lib/python3.8/argparse.py:1490(_get_optional_kwargs)
        9    0.000    0.000    0.006    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:1104(load_args)
        9    0.000    0.000    0.006    0.001 /usr/lib/python3.8/argparse.py:2286(parse_intermixed_args)
        5    0.000    0.000    0.006    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:219(<genexpr>)
        9    0.001    0.000    0.006    0.001 /usr/lib/python3.8/argparse.py:2293(parse_known_intermixed_args)
        4    0.000    0.000    0.006    0.002 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:251(_run_mapper_and_combiner_func)
        1    0.000    0.000    0.006    0.006 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:675(__exit__)
        1    0.000    0.000    0.006    0.006 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:617(cleanup)
    12201    0.006    0.000    0.006    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.006    0.006 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:585(_cleanup_local_tmp)
        1    0.000    0.000    0.006    0.006 /usr/lib/python3.8/shutil.py:682(rmtree)
     23/1    0.001    0.000    0.006    0.006 /usr/lib/python3.8/shutil.py:625(_rmtree_safe_fd)
       20    0.001    0.000    0.006    0.000 /usr/lib/python3.8/argparse.py:1786(parse_known_args)
        9    0.000    0.000    0.005    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1585(_add_job_args)
        4    0.000    0.000    0.005    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/job.py:715(_runner_class)
        4    0.000    0.000    0.005    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/runner.py:1534(_runner_class)
      9/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:986(_find_and_load)
        8    0.000    0.000    0.005    0.001 /usr/lib/python3.8/_collections_abc.py:816(clear)
      9/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        5    0.000    0.000    0.005    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:289(<genexpr>)
        8    0.000    0.000    0.005    0.001 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:320(_env_for_task)
      9/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:650(_load_unlocked)
      504    0.001    0.000    0.005    0.000 /usr/lib/python3.8/_collections_abc.py:804(popitem)
      8/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap_external>:842(exec_module)
     15/1    0.000    0.000    0.005    0.005 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
        1    0.000    0.000    0.005    0.005 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/inline.py:19(<module>)
     1116    0.003    0.000    0.005    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1525(suppressed)
       16    0.000    0.000    0.004    0.000 /usr/lib/python3.8/_collections_abc.py:824(update)
        1    0.000    0.000    0.004    0.004 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:18(<module>)
       35    0.004    0.000    0.004    0.000 {built-in method posix.unlink}
       24    0.000    0.000    0.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/fs/composite.py:122(_do)
        8    0.000    0.000    0.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:550(_setup_working_dir)
      792    0.001    0.000    0.004    0.000 /usr/lib/python3.8/os.py:678(__setitem__)
       19    0.000    0.000    0.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/fs/composite.py:144(mkdir)
       24    0.000    0.000    0.004    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/fs/composite.py:96(_handle)
       20    0.001    0.000    0.004    0.000 /usr/lib/python3.8/argparse.py:1821(_parse_known_args)
     1562    0.003    0.000    0.003    0.000 {built-in method posix.get_terminal_size}
       19    0.000    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/fs/local.py:62(mkdir)
     1562    0.002    0.000    0.003    0.000 /usr/lib/python3.8/argparse.py:1526(_pop_action_class)
        9    0.000    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:477(combine_local_envs)
        9    0.001    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/conf.py:484(_combine_envs_helper)
        9    0.000    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1563(_add_basic_args)
      5/2    0.000    0.000    0.003    0.001 {built-in method builtins.__import__}
      495    0.002    0.000    0.003    0.000 /usr/lib/python3.8/posixpath.py:71(join)
        9    0.000    0.000    0.003    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/options.py:1631(_add_step_args)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.8/multiprocessing/__init__.py:15(<module>)
      675    0.002    0.000    0.003    0.000 /usr/lib/python3.8/argparse.py:863(__init__)
      5/2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     3138    0.002    0.000    0.002    0.000 /usr/lib/python3.8/argparse.py:1324(_registry_get)
    23/20    0.000    0.000    0.002    0.000 /usr/lib/python3.8/os.py:198(makedirs)
       10    0.000    0.000    0.002    0.000 /home/ubuntu/.local/lib/python3.8/site-packages/mrjob/sim.py:539(_yield_split_fileobjs)
